sup, 11,                          (lake and subbasin)
 0.864000E+09,                    (subbasin area in sq meters)
1989-01-01, 2000-12-31,           (start date (y-m-d), end date (y-m-d))
  0.34266E+01 ,                   (Tbase, deg. C)
  0.21183E+00 ,                   (snowmelt factor, cm/deg/day)
  0.52459E+01 ,                   (linear reservoir coefficient: percolation, per day)
  0.16638E-06 ,                   (partial linear reservoir coefficient: USZ evap, cubic meters)
  0.52119E+00 ,                   (linear reservoir coefficient: interflow, per day)
  0.70766E+00 ,                   (linear reservoir coefficient: deep percolation, per day)
  0.36857E-06 ,                   (partial linear reservoir coefficient: LSZ evap, cubic meters)
  0.80718E-02 ,                   (linear reservoir coefficient: groundwater, per day)
  0.24179E+00 ,                   (linear reservoir coefficient: surface flow, per day)
  0.28372E+02 ,                   (Cons, calories per square centimeter)
  0.19000E+03 ,                   (mid-monthly Jan daily surface insolation, langleys)
  0.33000E+03 ,                   (mid-monthly Feb daily surface insolation, langleys)
  0.49000E+03 ,                   (mid-monthly Mar daily surface insolation, langleys)
  0.64000E+03 ,                   (mid-monthly Apr daily surface insolation, langleys)
  0.77000E+03 ,                   (mid-monthly May daily surface insolation, langleys)
  0.79000E+03 ,                   (mid-monthly Jun daily surface insolation, langleys)
  0.77000E+03 ,                   (mid-monthly Jul daily surface insolation, langleys)
  0.67000E+03 ,                   (mid-monthly Aug daily surface insolation, langleys)
  0.51000E+03 ,                   (mid-monthly Sep daily surface insolation, langleys)
  0.36000E+03 ,                   (mid-monthly Oct daily surface insolation, langleys)
  0.20000E+03 ,                   (mid-monthly Nov daily surface insolation, langleys)
  0.15000E+03 ,                   (mid-monthly Dec daily surface insolation, langleys)
 0.355000E+00 ,                   (1st empirical linear coefficient [ordinate-intercept] relating ratio of cloudy insolation/cloudless insolation to "cloud cover")
 0.680000E+00 ,                   (2nd empirical linear coefficient [slope] relating ratio of cloudy insolation/cloudless insolation to "cloud cover")
  0.10021E+01 ,                   (upper soil zone capacity, cm)
 Long term air temperature values used for calculation of potential evapotranspiration. deg C
 Day,   Jan,   Feb,   Mar,   Apr,   May,   Jun,   Jul,   Aug,   Sep,   Oct,   Nov,   Dec
   1,  -7.3,  -9.6,  -6.4,   0.3,   7.1,  12.6,  17.5,  18.7,  17.1,  10.6,   5.4,  -2.2
   2,  -7.4,  -9.6,  -6.3,   0.4,   7.2,  12.6,  17.4,  18.7,  16.9,  10.6,   5.2,  -2.4
   3,  -7.2,  -9.6,  -6.3,   0.5,   7.3,  12.8,  17.4,  18.7,  16.7,  10.4,   4.8,  -2.6
   4,  -7.3,  -9.5,  -6.1,   0.6,   7.4,  13.1,  17.4,  18.6,  16.6,  10.1,   4.2,  -2.7
   5,  -7.4,  -9.5,  -5.8,   0.5,   7.7,  13.4,  17.4,  18.6,  16.4,   9.9,   3.8,  -2.8
   6,  -7.6,  -9.5,  -5.9,   0.7,   8.0,  13.9,  17.5,  18.6,  16.1,   9.4,   3.3,  -2.9
   7,  -8.2,  -9.2,  -5.9,   0.9,   8.3,  14.4,  17.7,  18.7,  15.8,   9.0,   3.0,  -3.2
   8,  -8.8,  -9.2,  -5.9,   1.0,   8.6,  14.7,  17.8,  18.7,  15.7,   8.8,   2.8,  -3.5
   9,  -9.2,  -9.3,  -6.1,   1.1,   8.8,  14.9,  17.9,  18.7,  15.5,   8.7,   2.6,  -3.8
  10,  -9.3,  -9.2,  -6.1,   1.5,   9.0,  14.9,  18.0,  18.4,  15.2,   8.6,   2.3,  -4.3
  11,  -9.5,  -9.2,  -5.8,   1.7,   9.2,  14.9,  18.0,  18.1,  15.1,   8.6,   2.1,  -4.6
  12,  -9.3,  -9.3,  -5.4,   2.1,   9.3,  14.9,  18.2,  17.9,  14.9,   8.6,   1.7,  -4.9
  13,  -8.9,  -9.2,  -4.8,   2.6,   9.6,  15.0,  18.3,  17.7,  14.6,   8.6,   1.6,  -5.0
  14,  -8.8,  -9.0,  -4.4,   3.2,   9.8,  15.2,  18.5,  17.8,  14.2,   8.6,   1.4,  -5.1
  15,  -9.0,  -9.0,  -4.1,   3.7,   9.9,  15.4,  18.7,  17.9,  13.8,   8.5,   1.4,  -5.0
  16,  -9.2,  -8.9,  -4.0,   4.2,  10.0,  15.5,  18.9,  17.9,  13.5,   8.3,   1.4,  -5.0
  17,  -9.4,  -8.8,  -3.9,   4.5,  10.3,  15.6,  19.0,  17.8,  13.3,   8.1,   1.5,  -5.2
  18,  -9.7,  -8.4,  -3.7,   4.8,  10.5,  15.7,  19.1,  17.7,  13.3,   7.8,   1.5,  -5.6
  19,  -9.7,  -7.9,  -3.5,   5.0,  10.6,  15.7,  19.1,  17.5,  13.3,   7.4,   1.5,  -5.9
  20,  -9.6,  -7.6,  -3.1,   5.2,  10.9,  15.7,  19.2,  17.5,  13.3,   7.1,   1.2,  -6.2
  21,  -9.4,  -7.1,  -2.7,   5.4,  11.2,  15.8,  19.2,  17.4,  13.1,   6.9,   0.8,  -6.3
  22,  -9.3,  -6.8,  -2.4,   5.5,  11.5,  16.0,  19.1,  17.4,  12.6,   6.7,   0.5,  -6.2
  23,  -9.2,  -6.7,  -2.3,   5.6,  11.8,  16.0,  19.1,  17.3,  11.9,   6.7,  -0.1,  -6.1
  24,  -9.0,  -6.9,  -2.3,   5.7,  11.9,  16.2,  19.2,  17.3,  11.6,   6.6,  -0.6,  -6.2
  25,  -8.8,  -7.0,  -2.2,   5.8,  12.0,  16.4,  19.1,  17.5,  11.3,   6.5,  -0.9,  -6.5
  26,  -8.8,  -7.1,  -1.9,   5.9,  12.1,  16.7,  19.0,  17.7,  11.1,   6.3,  -1.2,  -6.9
  27,  -9.0,  -6.9,  -1.5,   6.0,  12.0,  17.0,  18.9,  17.8,  11.0,   6.0,  -1.4,  -7.2
  28,  -9.4,  -6.8,  -0.9,   6.3,  12.0,  17.3,  18.8,  17.9,  11.0,   5.8,  -1.5,  -7.3
  29,  -9.6,  -6.6,  -0.5,   6.6,  12.2,  17.5,  18.7,  17.8,  10.8,   5.6,  -1.6,  -7.4
  30,  -9.8,-999.9,  -0.1,   6.9,  12.4,  17.5,  18.7,  17.5,  10.6,   5.7,  -1.9,  -7.3
  31,  -9.7,-999.9,   0.2,-999.9,  12.5,-999.9,  18.6,  17.3,-999.9,   5.5,-999.9,  -7.3
