ont, 14,                          (lake and subbasin)
 0.263200E+10,                    (subbasin area in sq meters)
1989-01-01, 2000-12-31,           (start date (y-m-d), end date (y-m-d))
  0.38319E+01 ,                   (Tbase, deg. C)
  0.10372E-03 ,                   (snowmelt factor, cm/deg/day)
  0.11643E-01 ,                   (linear reservoir coefficient: percolation, per day)
  0.33407E-08 ,                   (partial linear reservoir coefficient: USZ evap, cubic meters)
  0.42483E+00 ,                   (linear reservoir coefficient: interflow, per day)
  0.14327E+01 ,                   (linear reservoir coefficient: deep percolation, per day)
  0.26070E-11 ,                   (partial linear reservoir coefficient: LSZ evap, cubic meters)
  0.88199E-02 ,                   (linear reservoir coefficient: groundwater, per day)
  0.60746E+00 ,                   (linear reservoir coefficient: surface flow, per day)
  0.27417E+02 ,                   (Cons, calories per square centimeter)
  0.19000E+03 ,                   (mid-monthly Jan daily surface insolation, langleys)
  0.33000E+03 ,                   (mid-monthly Feb daily surface insolation, langleys)
  0.49000E+03 ,                   (mid-monthly Mar daily surface insolation, langleys)
  0.64000E+03 ,                   (mid-monthly Apr daily surface insolation, langleys)
  0.77000E+03 ,                   (mid-monthly May daily surface insolation, langleys)
  0.79000E+03 ,                   (mid-monthly Jun daily surface insolation, langleys)
  0.77000E+03 ,                   (mid-monthly Jul daily surface insolation, langleys)
  0.67000E+03 ,                   (mid-monthly Aug daily surface insolation, langleys)
  0.51000E+03 ,                   (mid-monthly Sep daily surface insolation, langleys)
  0.36000E+03 ,                   (mid-monthly Oct daily surface insolation, langleys)
  0.20000E+03 ,                   (mid-monthly Nov daily surface insolation, langleys)
  0.15000E+03 ,                   (mid-monthly Dec daily surface insolation, langleys)
 0.355000E+00 ,                   (1st empirical linear coefficient [ordinate-intercept] relating ratio of cloudy insolation/cloudless insolation to "cloud cover")
 0.680000E+00 ,                   (2nd empirical linear coefficient [slope] relating ratio of cloudy insolation/cloudless insolation to "cloud cover")
  0.15775E+02 ,                   (upper soil zone capacity, cm)
 Long term air temperature values used for calculation of potential evapotranspiration. deg C
 Day,   Jan,   Feb,   Mar,   Apr,   May,   Jun,   Jul,   Aug,   Sep,   Oct,   Nov,   Dec
   1,  -4.8,  -7.0,  -3.7,   3.2,   9.2,  15.3,  19.7,  20.5,  18.9,  12.2,   6.7,  -0.0
   2,  -4.9,  -7.1,  -3.5,   3.2,   9.4,  15.2,  19.7,  20.5,  18.6,  12.2,   6.7,  -0.5
   3,  -4.6,  -7.1,  -3.5,   3.2,   9.4,  15.3,  19.7,  20.5,  18.4,  12.2,   6.5,  -0.8
   4,  -4.6,  -7.1,  -3.3,   3.3,   9.5,  15.3,  19.8,  20.4,  18.2,  11.9,   6.1,  -0.9
   5,  -4.9,  -7.0,  -2.9,   3.2,   9.7,  15.5,  19.8,  20.3,  18.2,  11.6,   5.6,  -0.9
   6,  -5.0,  -6.9,  -2.8,   3.1,  10.0,  15.8,  19.7,  20.3,  17.9,  11.2,   5.1,  -0.9
   7,  -5.4,  -6.7,  -2.8,   3.2,  10.2,  16.4,  19.8,  20.3,  17.7,  10.8,   4.8,  -1.1
   8,  -6.3,  -6.7,  -2.8,   3.4,  10.6,  16.9,  20.0,  20.3,  17.5,  10.6,   4.5,  -1.3
   9,  -6.8,  -6.7,  -3.0,   3.5,  10.9,  17.2,  20.1,  20.3,  17.4,  10.4,   4.3,  -1.6
  10,  -7.1,  -6.6,  -3.2,   3.8,  11.2,  17.4,  20.1,  20.3,  17.1,  10.3,   4.2,  -2.1
  11,  -7.3,  -6.7,  -3.2,   4.0,  11.3,  17.6,  20.2,  20.2,  16.9,  10.2,   4.0,  -2.5
  12,  -7.4,  -6.8,  -2.8,   4.4,  11.5,  17.5,  20.3,  20.0,  16.8,  10.1,   3.7,  -2.8
  13,  -7.0,  -6.7,  -2.3,   4.9,  11.7,  17.6,  20.4,  19.8,  16.6,   9.9,   3.6,  -3.0
  14,  -6.9,  -6.6,  -1.7,   5.5,  11.8,  17.7,  20.5,  19.8,  16.2,   9.9,   3.5,  -3.1
  15,  -6.9,  -6.4,  -1.5,   6.1,  11.9,  17.9,  20.8,  19.9,  15.8,   9.7,   3.3,  -3.2
  16,  -7.0,  -6.3,  -1.3,   6.6,  12.1,  17.9,  20.9,  19.9,  15.4,   9.6,   3.2,  -3.2
  17,  -7.1,  -6.0,  -1.3,   7.0,  12.4,  18.1,  21.1,  19.8,  15.1,   9.4,   3.2,  -3.3
  18,  -7.3,  -5.6,  -1.3,   7.3,  12.7,  18.1,  21.2,  19.6,  14.9,   9.2,   3.2,  -3.6
  19,  -7.3,  -5.2,  -1.3,   7.5,  12.9,  18.1,  21.2,  19.3,  14.9,   8.8,   3.0,  -4.1
  20,  -7.3,  -4.8,  -1.0,   7.6,  13.1,  18.1,  21.2,  19.1,  14.9,   8.4,   2.8,  -4.3
  21,  -7.2,  -4.4,  -0.7,   7.9,  13.4,  18.2,  21.2,  18.8,  14.9,   8.1,   2.6,  -4.6
  22,  -6.9,  -4.0,  -0.2,   8.0,  13.6,  18.4,  21.1,  18.6,  14.6,   7.9,   2.3,  -4.6
  23,  -6.6,  -3.9,   0.1,   8.1,  13.8,  18.4,  21.1,  18.6,  14.1,   7.9,   1.9,  -4.4
  24,  -6.3,  -3.9,   0.3,   8.2,  14.0,  18.6,  21.0,  18.6,  13.6,   7.8,   1.6,  -4.2
  25,  -6.1,  -4.1,   0.5,   8.2,  14.0,  18.8,  21.1,  18.8,  13.4,   7.8,   1.4,  -4.4
  26,  -5.9,  -4.2,   0.8,   8.3,  14.0,  19.1,  21.0,  19.2,  13.1,   7.6,   1.3,  -4.6
  27,  -6.1,  -4.2,   1.2,   8.3,  14.1,  19.4,  20.8,  19.4,  12.9,   7.4,   1.2,  -4.9
  28,  -6.4,  -4.1,   1.7,   8.6,  14.2,  19.6,  20.8,  19.6,  12.8,   7.0,   1.0,  -5.0
  29,  -6.6,  -4.0,   2.2,   8.8,  14.4,  19.7,  20.7,  19.6,  12.7,   6.8,   0.9,  -5.1
  30,  -6.9,-999.9,   2.6,   9.1,  14.8,  19.7,  20.6,  19.4,  12.4,   6.8,   0.5,  -5.0
  31,  -7.0,-999.9,   3.0,-999.9,  15.2,-999.9,  20.5,  19.1,-999.9,   6.8,-999.9,  -4.8
