ont, 15,                          (lake and subbasin)
 0.226900E+10,                    (subbasin area in sq meters)
1989-01-01, 2000-12-31,           (start date (y-m-d), end date (y-m-d))
  0.88610E+01 ,                   (Tbase, deg. C)
  0.33606E+00 ,                   (snowmelt factor, cm/deg/day)
  0.62511E-02 ,                   (linear reservoir coefficient: percolation, per day)
  0.16281E-07 ,                   (partial linear reservoir coefficient: USZ evap, cubic meters)
  0.50672E-01 ,                   (linear reservoir coefficient: interflow, per day)
  0.32137E-01 ,                   (linear reservoir coefficient: deep percolation, per day)
  0.48217E-06 ,                   (partial linear reservoir coefficient: LSZ evap, cubic meters)
  0.33127E-03 ,                   (linear reservoir coefficient: groundwater, per day)
  0.32299E+00 ,                   (linear reservoir coefficient: surface flow, per day)
  0.27081E+02 ,                   (Cons, calories per square centimeter)
  0.19000E+03 ,                   (mid-monthly Jan daily surface insolation, langleys)
  0.33000E+03 ,                   (mid-monthly Feb daily surface insolation, langleys)
  0.49000E+03 ,                   (mid-monthly Mar daily surface insolation, langleys)
  0.64000E+03 ,                   (mid-monthly Apr daily surface insolation, langleys)
  0.77000E+03 ,                   (mid-monthly May daily surface insolation, langleys)
  0.79000E+03 ,                   (mid-monthly Jun daily surface insolation, langleys)
  0.77000E+03 ,                   (mid-monthly Jul daily surface insolation, langleys)
  0.67000E+03 ,                   (mid-monthly Aug daily surface insolation, langleys)
  0.51000E+03 ,                   (mid-monthly Sep daily surface insolation, langleys)
  0.36000E+03 ,                   (mid-monthly Oct daily surface insolation, langleys)
  0.20000E+03 ,                   (mid-monthly Nov daily surface insolation, langleys)
  0.15000E+03 ,                   (mid-monthly Dec daily surface insolation, langleys)
 0.355000E+00 ,                   (1st empirical linear coefficient [ordinate-intercept] relating ratio of cloudy insolation/cloudless insolation to "cloud cover")
 0.680000E+00 ,                   (2nd empirical linear coefficient [slope] relating ratio of cloudy insolation/cloudless insolation to "cloud cover")
  0.81622E+02 ,                   (upper soil zone capacity, cm)
 Long term air temperature values used for calculation of potential evapotranspiration. deg C
 Day,   Jan,   Feb,   Mar,   Apr,   May,   Jun,   Jul,   Aug,   Sep,   Oct,   Nov,   Dec
   1,  -4.5,  -6.8,  -3.7,   3.1,   9.1,  15.1,  19.6,  20.3,  18.9,  12.2,   6.7,  -0.0
   2,  -4.5,  -6.8,  -3.6,   3.2,   9.3,  15.1,  19.6,  20.3,  18.6,  12.2,   6.7,  -0.4
   3,  -4.3,  -6.9,  -3.5,   3.1,   9.4,  15.2,  19.6,  20.3,  18.3,  12.2,   6.5,  -0.7
   4,  -4.3,  -6.9,  -3.2,   3.2,   9.5,  15.2,  19.7,  20.3,  18.2,  11.9,   6.0,  -0.8
   5,  -4.7,  -6.9,  -2.9,   3.1,   9.6,  15.3,  19.7,  20.2,  18.1,  11.6,   5.6,  -0.8
   6,  -4.8,  -6.8,  -2.8,   3.1,   9.9,  15.7,  19.6,  20.1,  17.9,  11.3,   5.1,  -0.8
   7,  -5.2,  -6.6,  -2.8,   3.2,  10.1,  16.3,  19.7,  20.1,  17.6,  10.9,   4.7,  -1.0
   8,  -6.0,  -6.5,  -2.8,   3.3,  10.5,  16.7,  19.9,  20.1,  17.5,  10.6,   4.5,  -1.3
   9,  -6.5,  -6.5,  -2.9,   3.5,  10.8,  17.1,  19.9,  20.1,  17.3,  10.4,   4.3,  -1.6
  10,  -6.7,  -6.4,  -3.1,   3.8,  11.1,  17.3,  19.9,  20.1,  17.1,  10.3,   4.2,  -2.0
  11,  -6.9,  -6.4,  -3.0,   4.0,  11.2,  17.4,  20.0,  19.9,  16.8,  10.2,   4.0,  -2.4
  12,  -7.0,  -6.6,  -2.7,   4.3,  11.4,  17.4,  20.1,  19.8,  16.7,  10.1,   3.8,  -2.7
  13,  -6.6,  -6.5,  -2.2,   4.7,  11.6,  17.5,  20.1,  19.6,  16.5,   9.9,   3.7,  -2.9
  14,  -6.5,  -6.4,  -1.6,   5.4,  11.7,  17.6,  20.3,  19.6,  16.1,   9.9,   3.5,  -3.0
  15,  -6.6,  -6.3,  -1.4,   6.0,  11.8,  17.8,  20.6,  19.7,  15.7,   9.8,   3.4,  -3.1
  16,  -6.7,  -6.1,  -1.3,   6.5,  12.0,  17.9,  20.7,  19.8,  15.3,   9.6,   3.3,  -3.2
  17,  -6.9,  -5.9,  -1.3,   6.9,  12.3,  18.0,  21.0,  19.7,  15.0,   9.5,   3.2,  -3.2
  18,  -7.1,  -5.5,  -1.3,   7.2,  12.6,  18.0,  21.0,  19.5,  14.8,   9.2,   3.2,  -3.5
  19,  -7.2,  -5.1,  -1.4,   7.4,  12.8,  18.0,  21.0,  19.2,  14.8,   8.8,   3.0,  -4.0
  20,  -7.1,  -4.7,  -1.1,   7.6,  12.9,  18.0,  21.0,  18.9,  14.9,   8.5,   2.8,  -4.2
  21,  -7.0,  -4.2,  -0.8,   7.8,  13.2,  18.0,  21.0,  18.7,  14.9,   8.2,   2.5,  -4.4
  22,  -6.7,  -3.8,  -0.3,   8.0,  13.4,  18.1,  20.9,  18.5,  14.5,   8.0,   2.3,  -4.4
  23,  -6.4,  -3.7,  -0.1,   8.0,  13.6,  18.2,  20.9,  18.5,  14.0,   7.9,   1.8,  -4.2
  24,  -6.2,  -3.7,   0.1,   8.0,  13.7,  18.3,  20.8,  18.5,  13.5,   7.8,   1.5,  -4.1
  25,  -5.9,  -3.9,   0.3,   8.1,  13.8,  18.6,  20.8,  18.7,  13.3,   7.8,   1.2,  -4.3
  26,  -5.7,  -4.1,   0.7,   8.2,  13.8,  18.9,  20.7,  19.0,  13.1,   7.6,   1.2,  -4.5
  27,  -5.9,  -4.2,   1.1,   8.2,  13.9,  19.2,  20.6,  19.3,  12.9,   7.4,   1.1,  -4.7
  28,  -6.2,  -4.1,   1.6,   8.5,  13.9,  19.5,  20.6,  19.5,  12.8,   7.1,   1.0,  -4.9
  29,  -6.5,  -4.0,   2.2,   8.7,  14.1,  19.6,  20.5,  19.5,  12.7,   6.9,   0.8,  -4.9
  30,  -6.7,-999.9,   2.6,   9.0,  14.5,  19.6,  20.4,  19.4,  12.4,   6.9,   0.4,  -4.8
  31,  -6.8,-999.9,   2.9,-999.9,  15.0,-999.9,  20.3,  19.0,-999.9,   6.8,-999.9,  -4.5
