sup, 17,                          (lake and subbasin)
 0.522600E+10,                    (subbasin area in sq meters)
1989-01-01, 2000-12-31,           (start date (y-m-d), end date (y-m-d))
  0.95654E+00 ,                   (Tbase, deg. C)
  0.16588E+00 ,                   (snowmelt factor, cm/deg/day)
  0.28916E+00 ,                   (linear reservoir coefficient: percolation, per day)
  0.10098E-08 ,                   (partial linear reservoir coefficient: USZ evap, cubic meters)
  0.10508E-03 ,                   (linear reservoir coefficient: interflow, per day)
  0.50458E-02 ,                   (linear reservoir coefficient: deep percolation, per day)
  0.10427E-11 ,                   (partial linear reservoir coefficient: LSZ evap, cubic meters)
  0.16034E-01 ,                   (linear reservoir coefficient: groundwater, per day)
  0.60892E-01 ,                   (linear reservoir coefficient: surface flow, per day)
  0.19507E+00 ,                   (Cons, calories per square centimeter)
  0.19000E+03 ,                   (mid-monthly Jan daily surface insolation, langleys)
  0.33000E+03 ,                   (mid-monthly Feb daily surface insolation, langleys)
  0.49000E+03 ,                   (mid-monthly Mar daily surface insolation, langleys)
  0.64000E+03 ,                   (mid-monthly Apr daily surface insolation, langleys)
  0.77000E+03 ,                   (mid-monthly May daily surface insolation, langleys)
  0.79000E+03 ,                   (mid-monthly Jun daily surface insolation, langleys)
  0.77000E+03 ,                   (mid-monthly Jul daily surface insolation, langleys)
  0.67000E+03 ,                   (mid-monthly Aug daily surface insolation, langleys)
  0.51000E+03 ,                   (mid-monthly Sep daily surface insolation, langleys)
  0.36000E+03 ,                   (mid-monthly Oct daily surface insolation, langleys)
  0.20000E+03 ,                   (mid-monthly Nov daily surface insolation, langleys)
  0.15000E+03 ,                   (mid-monthly Dec daily surface insolation, langleys)
 0.355000E+00 ,                   (1st empirical linear coefficient [ordinate-intercept] relating ratio of cloudy insolation/cloudless insolation to "cloud cover")
 0.680000E+00 ,                   (2nd empirical linear coefficient [slope] relating ratio of cloudy insolation/cloudless insolation to "cloud cover")
  0.21677E+01 ,                   (upper soil zone capacity, cm)
 Long term air temperature values used for calculation of potential evapotranspiration. deg C
 Day,   Jan,   Feb,   Mar,   Apr,   May,   Jun,   Jul,   Aug,   Sep,   Oct,   Nov,   Dec
   1, -14.6, -15.5, -10.7,  -3.0,   4.1,  10.3,  13.9,  15.7,  13.9,   7.5,   2.3,  -7.0
   2, -14.7, -15.4, -10.8,  -2.7,   4.3,  10.2,  13.9,  15.6,  13.7,   7.4,   1.9,  -7.3
   3, -14.5, -15.1, -10.8,  -2.6,   4.5,  10.3,  14.0,  15.7,  13.5,   7.3,   1.4,  -7.4
   4, -14.7, -14.7, -10.4,  -2.4,   4.9,  10.5,  13.9,  15.7,  13.5,   7.0,   0.8,  -7.4
   5, -14.4, -14.6, -10.2,  -2.3,   5.2,  10.6,  14.0,  15.8,  13.3,   6.7,   0.4,  -7.6
   6, -14.8, -14.3, -10.4,  -2.0,   5.5,  10.8,  14.1,  15.8,  13.0,   6.2,  -0.1,  -7.7
   7, -15.3, -14.1, -10.2,  -2.0,   5.7,  11.1,  14.2,  15.9,  12.8,   5.9,  -0.4,  -8.1
   8, -15.8, -14.2, -10.0,  -1.8,   5.9,  11.2,  14.3,  15.8,  12.5,   5.8,  -0.7,  -8.7
   9, -16.0, -14.2, -10.1,  -1.5,   5.8,  11.3,  14.4,  15.7,  12.3,   5.8,  -1.1,  -9.4
  10, -16.1, -14.1,  -9.9,  -1.2,   5.9,  11.4,  14.5,  15.5,  12.1,   6.0,  -1.5, -10.0
  11, -15.9, -14.2,  -9.5,  -0.8,   6.0,  11.5,  14.7,  15.3,  11.9,   6.1,  -1.9, -10.4
  12, -15.4, -14.0,  -9.1,  -0.2,   6.2,  11.8,  14.8,  15.1,  11.6,   6.1,  -2.2, -10.6
  13, -15.2, -13.9,  -8.7,   0.4,   6.5,  12.0,  14.9,  15.0,  11.3,   5.9,  -2.5, -10.7
  14, -15.3, -13.8,  -8.1,   0.8,   6.9,  12.3,  15.0,  14.9,  10.9,   5.7,  -2.5, -10.8
  15, -15.3, -13.7,  -7.9,   1.2,   7.1,  12.5,  15.1,  15.0,  10.6,   5.3,  -2.5, -10.7
  16, -15.6, -13.6,  -7.6,   1.5,   7.3,  12.6,  15.2,  14.9,  10.3,   5.0,  -2.5, -10.7
  17, -15.9, -13.4,  -7.2,   1.7,   7.5,  12.6,  15.3,  14.8,  10.4,   4.7,  -2.4, -11.2
  18, -15.8, -12.8,  -6.9,   1.9,   7.7,  12.5,  15.3,  14.7,  10.4,   4.3,  -2.5, -11.6
  19, -15.8, -12.4,  -6.6,   2.0,   7.8,  12.3,  15.4,  14.6,  10.4,   4.0,  -2.7, -11.8
  20, -15.8, -11.9,  -6.1,   2.2,   8.2,  12.3,  15.5,  14.6,  10.2,   3.8,  -3.0, -12.0
  21, -15.6, -11.4,  -5.7,   2.5,   8.4,  12.4,  15.6,  14.5,  10.0,   3.7,  -3.5, -12.0
  22, -15.5, -11.3,  -5.7,   2.7,   8.8,  12.5,  15.5,  14.5,   9.4,   3.7,  -4.0, -11.9
  23, -15.6, -11.4,  -5.8,   2.9,   9.1,  12.7,  15.5,  14.4,   9.0,   3.7,  -4.6, -11.9
  24, -15.4, -11.4,  -5.8,   3.0,   9.4,  13.0,  15.6,  14.4,   8.7,   3.7,  -5.2, -12.3
  25, -15.5, -11.3,  -5.7,   3.1,   9.6,  13.3,  15.5,  14.5,   8.5,   3.6,  -5.5, -12.9
  26, -15.7, -11.2,  -5.3,   3.1,   9.8,  13.6,  15.5,  14.5,   8.4,   3.5,  -5.8, -13.5
  27, -16.0, -11.0,  -4.8,   3.3,   9.8,  13.8,  15.5,  14.7,   8.2,   3.3,  -6.0, -13.6
  28, -16.1, -11.0,  -4.3,   3.4,  10.0,  13.9,  15.6,  14.7,   8.0,   3.0,  -6.1, -13.8
  29, -16.2, -10.9,  -3.7,   3.7,  10.1,  14.0,  15.6,  14.7,   7.8,   2.9,  -6.4, -14.0
  30, -16.1,-999.9,  -3.4,   3.8,  10.2,  14.0,  15.6,  14.3,   7.5,   2.8,  -6.6, -13.9
  31, -15.8,-999.9,  -3.1,-999.9,  10.3,-999.9,  15.6,  14.2,-999.9,   2.6,-999.9, -14.3
